name;country;source1;source2;source3;source4;iso3n;eu28
demokratyczna republika konga;demokratyczna republika konga (zair);police;NA;NA;NA;180;NA
dominika;dominika;NA;NA;pesel;NA;212;NA
dominikana;dominikana;police;border;pesel;udsc;214;NA
dominikana;dominikańskie;NA;NA;zus;NA;214;NA
dania;duńskie;NA;NA;zus;NA;208;EU
dżibuti;dżibuckie;NA;NA;zus;NA;262;NA
dżibuti;dżibuti;NA;border;pesel;NA;262;NA
egipt;egipskie;NA;NA;zus;NA;818;NA
egipt;egipt;police;border;pesel;udsc;818;NA
ekwador;ekwador;police;border;pesel;udsc;218;NA
ekwador;ekwadorskie;NA;NA;zus;NA;218;NA
zjednoczone emiraty arabskie;emirackie;NA;NA;zus;NA;784;NA
erytrea;erytrea;NA;border;pesel;udsc;232;NA
erytrea;erytrejskie;NA;NA;zus;NA;232;NA
estonia;estonia;police;NA;pesel;NA;233;EU
estonia;estońskie;NA;NA;zus;NA;233;EU
etiopia;etiopia;police;border;pesel;udsc;231;NA
etiopia;etiopskie;NA;NA;zus;NA;231;NA
fidżi;fidżi;NA;NA;pesel;NA;242;NA
filipiny;filipińskie;NA;NA;zus;NA;608;NA
filipiny;filipiny;police;border;pesel;udsc;608;NA
finlandia;finlandia;police;NA;pesel;NA;246;EU
finlandia;fińskie;NA;NA;zus;NA;246;EU
francja;francja;police;NA;pesel;NA;250;EU
francja;francuskie;NA;NA;zus;NA;250;EU
francuskie terytoria południowe;francuskie terytoria płd.;NA;NA;zus;NA;260;NA
gabon;gabon;NA;NA;pesel;NA;266;NA
gabon;gabońskie;NA;NA;zus;NA;266;NA
gambia;gambia;police;border;pesel;udsc;270;NA
gambia;gambijskie;NA;NA;zus;NA;270;NA
ghana;ghana;police;border;pesel;udsc;288;NA
ghana;ghańskie;NA;NA;zus;NA;288;NA
grecja;grecja;police;NA;pesel;NA;300;EU
grecja;greckie;NA;NA;zus;NA;300;EU
grenada;grenada;NA;NA;pesel;NA;308;NA
grenada;grenadyjskie;NA;NA;zus;NA;308;NA
gruzja;gruzińskie;NA;NA;zus;NA;268;NA
gruzja;gruzja;police;border;pesel;udsc;268;NA
gujana;gujana;police;NA;pesel;NA;328;NA
